iter	RMSE
0	4.340079146
1	4.33527234
2	4.330888648
3	4.326269424
4	4.321494904
5	4.317049224
6	4.31272434
7	4.309150845
8	4.304652896
9	4.301323371
10	4.297765741
11	4.294229688
12	4.289789575
13	4.285940935
14	4.282152206
15	4.277656732
16	4.274020476
17	4.270810855
18	4.268043678
19	4.264444502
20	4.261345717
21	4.258281083
22	4.255095442
23	4.251810264
24	4.248569581
25	4.244666193
26	4.241356482
27	4.238623172
28	4.235566638
29	4.23183513
30	4.228459355
31	4.224867969
32	4.22192714
33	4.218885184
34	4.216250527
35	4.213156319
36	4.210191989
37	4.207421118
38	4.204641551
39	4.201930436
40	4.199167837
41	4.196590106
42	4.193503666
43	4.190373412
44	4.187993091
45	4.185351177
46	4.182775851
47	4.179705473
48	4.176756688
49	4.174684756
50	4.172762733
51	4.170059548
52	4.167179236
53	4.164467137
54	4.162029127
55	4.159760976
56	4.157691153
57	4.156274983
58	4.153943087
59	4.151738634
60	4.148809863
61	4.147368798
62	4.144711184
63	4.142504508
64	4.141096941
65	4.139124423
66	4.136862543
67	4.134353154
68	4.132022557
69	4.129704594
70	4.128034402
71	4.125884242
72	4.123908072
73	4.122300978
74	4.120685831
75	4.118612989
76	4.116264325
77	4.114648105
78	4.112553166
79	4.111532322
80	4.108903018
81	4.106826827
82	4.104665865
83	4.102641764
84	4.100980345
85	4.099379762
86	4.097574093
87	4.095812066
88	4.093679096
89	4.092173741
90	4.09114966
91	4.089380737
92	4.087465524
93	4.086002106
94	4.084269314
95	4.082629334
96	4.081132451
97	4.078751371
98	4.076976539
99	4.0755066
100	4.074000655
101	4.072695827
102	4.071095477
103	4.070075738
104	4.06877014
105	4.067517189
106	4.066203905
107	4.064184052
108	4.06284704
109	4.061585613
110	4.059908776
111	4.058754254
112	4.057671123
113	4.056088863
114	4.054183481
115	4.052757586
116	4.051188349
117	4.049290018
118	4.048428194
119	4.047077181
120	4.045695
121	4.044289139
122	4.042923984
123	4.041295885
124	4.039625319
125	4.038807115
126	4.0374944
127	4.036189942
128	4.035385876
129	4.034400849
130	4.032979284
131	4.03176758
132	4.030634161
133	4.029152869
134	4.028060608
135	4.026859491
136	4.025895169
137	4.024574747
138	4.023500156
139	4.021893218
140	4.020684701
141	4.019447368
142	4.018817095
143	4.017347305
144	4.015807031
145	4.014716198
146	4.013281653
147	4.01244573
148	4.011631277
149	4.010621845
150	4.009768821
151	4.008616513
152	4.00752542
153	4.006295502
154	4.005284035
155	4.004210041
156	4.003214568
157	4.002303064
158	4.001503437
159	4.000731249
160	3.999443824
161	3.998269769
162	3.997149305
163	3.996621211
164	3.99593923
165	3.994706822
166	3.99391146
167	3.993205589
168	3.992267938
169	3.99168509
170	3.990310509
171	3.988791413
172	3.988074495
173	3.986993193
174	3.986224278
175	3.98537532
176	3.984839306
177	3.984009915
178	3.98323288
179	3.982245248
180	3.980955553
181	3.98007851
182	3.978877922
183	3.977580299
184	3.97612796
185	3.974485298
186	3.973827401
187	3.97296011
188	3.972426704
189	3.971177139
190	3.970035913
191	3.969287283
192	3.968554132
193	3.967620834
194	3.96668864
195	3.966052927
196	3.965100104
