iter	Passed	Remaining
0	2	1963
1	4	1953
2	7	1936
3	9	1933
4	11	1905
5	14	1886
6	16	1877
7	19	1881
8	21	1871
9	23	1862
10	25	1848
11	28	1839
12	30	1831
13	32	1825
14	35	1834
15	37	1830
16	39	1822
17	41	1814
18	43	1808
19	46	1803
20	48	1797
21	51	1804
22	53	1808
23	56	1820
24	58	1823
25	61	1824
26	63	1817
27	66	1819
28	68	1829
29	71	1824
30	73	1826
31	76	1826
32	78	1822
33	80	1818
34	83	1816
35	85	1814
36	87	1810
37	90	1805
38	92	1801
39	94	1797
40	96	1793
41	99	1788
42	101	1785
43	103	1782
44	106	1778
45	108	1774
46	110	1771
47	112	1766
48	115	1762
49	117	1759
50	119	1755
51	121	1751
52	123	1747
53	126	1743
54	128	1739
55	130	1736
56	132	1732
57	135	1729
58	137	1726
59	139	1722
60	141	1719
61	144	1715
62	146	1712
63	148	1708
64	150	1704
65	152	1700
66	155	1697
67	157	1694
68	159	1691
69	161	1688
70	164	1686
71	166	1685
72	169	1683
73	171	1680
74	173	1677
75	175	1674
76	178	1671
77	180	1668
78	182	1665
79	184	1662
80	186	1659
81	189	1656
82	191	1653
83	193	1650
84	195	1647
85	198	1645
86	200	1641
87	202	1638
88	204	1635
89	206	1632
90	209	1630
91	211	1627
92	213	1624
93	216	1622
94	218	1620
95	220	1617
96	222	1614
97	224	1611
98	227	1608
99	229	1606
100	231	1603
101	233	1600
102	236	1597
103	238	1595
104	240	1593
105	242	1590
106	245	1587
107	247	1585
108	249	1582
109	251	1580
110	254	1577
111	256	1574
112	258	1571
113	260	1569
114	262	1566
115	265	1563
116	267	1560
117	269	1558
118	271	1555
119	274	1552
120	276	1549
121	278	1547
122	280	1544
123	282	1542
124	285	1539
125	287	1536
126	289	1534
127	291	1532
128	293	1529
129	296	1526
130	298	1524
131	300	1521
132	302	1519
133	305	1516
134	307	1514
135	309	1512
136	311	1509
137	314	1506
138	316	1504
139	318	1501
140	320	1499
141	323	1497
142	325	1494
143	327	1492
144	329	1489
145	332	1487
146	334	1485
147	336	1483
148	338	1480
149	341	1478
150	343	1475
151	345	1473
152	347	1470
153	350	1468
154	352	1466
155	354	1464
156	356	1461
157	359	1460
158	361	1457
159	364	1456
160	366	1453
161	368	1451
162	370	1448
163	373	1446
164	375	1444
165	377	1441
166	379	1439
167	382	1437
168	384	1434
169	386	1432
170	388	1429
171	390	1427
172	393	1425
173	395	1422
174	397	1420
175	399	1417
176	401	1414
177	404	1412
178	406	1410
179	408	1407
180	412	1410
181	416	1414
182	420	1417
183	424	1420
184	428	1423
185	431	1423
186	433	1421
187	435	1418
188	438	1416
189	440	1413
190	442	1411
191	444	1408
192	446	1405
193	449	1403
194	451	1400
195	453	1397
196	455	1395
197	458	1392
198	460	1390
199	462	1387
200	464	1384
201	466	1382
202	469	1379
203	471	1376
204	473	1374
205	475	1371
206	477	1368
207	480	1366
208	482	1363
209	484	1361
210	486	1358
211	488	1355
212	491	1353
213	493	1350
214	495	1347
215	497	1345
216	499	1342
217	502	1340
218	504	1337
219	506	1335
220	508	1333
221	511	1330
222	513	1328
223	515	1325
224	517	1323
225	519	1320
226	522	1318
227	524	1315
228	526	1313
229	529	1311
230	531	1308
231	533	1306
232	535	1303
233	537	1301
234	540	1298
235	542	1296
236	545	1296
237	548	1295
238	550	1293
239	553	1290
240	555	1288
241	559	1289
242	562	1288
243	564	1286
244	567	1284
245	569	1283
246	573	1283
247	576	1282
248	579	1281
249	581	1280
250	584	1278
251	586	1275
252	589	1274
253	591	1272
254	594	1269
255	596	1267
256	598	1265
257	601	1263
258	603	1260
259	606	1258
260	608	1256
261	610	1254
262	613	1251
263	615	1250
264	618	1248
265	620	1246
266	623	1243
267	625	1241
268	627	1239
269	630	1237
270	632	1234
271	634	1232
272	637	1230
273	639	1228
274	642	1225
275	644	1223
276	646	1221
277	649	1218
278	651	1216
279	653	1214
280	656	1211
281	658	1209
282	661	1207
283	663	1205
284	665	1203
285	668	1201
286	670	1199
287	673	1196
288	675	1194
289	677	1192
290	680	1189
291	682	1187
292	684	1185
293	687	1182
294	689	1180
295	691	1178
296	694	1175
297	696	1173
298	698	1171
299	701	1168
300	703	1166
301	705	1163
302	707	1161
303	710	1158
304	712	1155
305	714	1153
306	716	1150
307	718	1148
308	721	1146
309	723	1143
310	725	1141
311	727	1138
312	730	1136
313	732	1133
314	734	1131
315	736	1128
316	738	1125
317	741	1123
318	743	1120
319	745	1118
320	747	1115
321	750	1113
322	752	1110
323	754	1108
324	757	1106
325	759	1104
326	761	1101
327	764	1099
328	766	1097
329	769	1095
330	771	1092
331	773	1090
332	776	1088
333	778	1085
334	780	1083
335	783	1081
336	785	1079
337	787	1076
338	790	1074
339	792	1072
340	794	1069
341	797	1067
342	799	1065
343	801	1062
344	804	1060
345	806	1058
346	808	1056
347	811	1053
348	813	1051
349	816	1049
350	818	1046
351	820	1044
352	823	1042
353	825	1040
354	828	1038
355	830	1035
356	832	1033
357	835	1031
358	837	1028
359	839	1026
360	842	1024
361	844	1021
362	846	1019
363	849	1017
364	851	1014
365	853	1012
366	856	1010
367	858	1007
368	860	1005
369	863	1003
370	865	1000
371	867	998
372	870	996
373	872	994
374	875	991
375	877	989
376	879	987
377	882	984
378	884	982
379	886	980
380	889	977
381	891	975
382	893	973
383	896	970
384	898	968
385	900	966
386	904	965
387	908	964
388	910	962
389	913	959
390	915	957
391	917	954
392	920	952
393	922	950
394	924	948
395	927	945
396	929	943
397	931	941
398	934	938
399	936	936
400	938	934
401	941	931
402	943	929
403	945	927
404	948	924
405	950	922
406	953	920
407	955	918
408	957	915
409	960	913
410	962	911
411	965	908
412	967	906
413	969	904
414	972	901
415	974	899
416	976	897
417	979	894
418	981	892
419	983	890
420	986	887
421	988	885
422	990	883
423	993	880
424	995	878
425	997	875
426	1000	873
427	1002	871
428	1004	869
429	1007	866
430	1009	864
431	1011	862
432	1014	859
433	1016	857
434	1019	855
435	1021	852
436	1023	850
437	1026	848
438	1028	845
439	1031	843
440	1033	841
441	1037	840
442	1040	838
443	1042	836
444	1045	834
445	1049	832
446	1051	830
447	1054	828
448	1056	826
449	1059	823
450	1061	821
451	1064	819
452	1066	817
453	1069	815
454	1072	813
455	1074	810
456	1077	808
457	1079	806
458	1081	803
459	1084	801
460	1086	799
461	1089	796
462	1091	794
463	1093	792
464	1096	789
465	1098	787
466	1100	785
467	1103	782
468	1105	780
469	1107	777
470	1110	775
471	1112	773
472	1115	770
473	1117	768
474	1119	766
475	1122	763
476	1124	761
477	1126	758
478	1128	756
479	1131	754
480	1133	751
481	1136	749
482	1139	747
483	1141	745
484	1145	744
485	1148	742
486	1151	739
487	1153	737
488	1156	735
489	1158	733
490	1161	730
491	1163	728
492	1165	726
493	1168	723
494	1170	721
495	1172	718
496	1175	716
497	1177	714
498	1180	711
499	1182	709
500	1184	707
501	1187	704
502	1189	702
503	1192	700
504	1194	697
505	1196	695
506	1199	692
507	1201	690
508	1203	688
509	1206	685
510	1208	683
511	1210	680
512	1212	678
513	1215	676
514	1217	673
515	1220	671
516	1222	669
517	1224	666
518	1227	664
519	1229	662
520	1232	660
521	1235	658
522	1237	655
523	1240	653
524	1242	650
525	1244	648
526	1246	645
527	1248	643
528	1251	640
529	1253	638
530	1255	636
531	1257	633
532	1259	631
533	1262	628
534	1264	626
535	1266	623
536	1268	621
537	1270	618
538	1273	616
539	1275	614
540	1277	611
541	1279	609
542	1281	606
543	1284	604
544	1286	601
545	1288	599
546	1290	596
547	1292	594
548	1295	592
549	1297	589
550	1299	587
551	1301	584
552	1304	582
553	1306	580
554	1308	577
555	1310	575
556	1312	572
557	1315	570
558	1317	568
559	1321	566
560	1323	564
561	1326	561
562	1328	559
563	1330	556
564	1332	554
565	1335	551
566	1337	549
567	1339	547
568	1341	544
569	1343	542
570	1346	539
571	1348	537
572	1350	535
573	1352	532
574	1355	530
575	1357	527
576	1359	525
577	1361	523
578	1363	520
579	1366	518
580	1368	515
581	1370	513
582	1372	510
583	1374	508
584	1377	506
585	1379	503
586	1381	501
587	1383	498
588	1386	496
589	1388	494
590	1390	491
591	1393	489
592	1396	487
593	1399	485
594	1402	483
595	1404	480
596	1406	478
597	1408	475
598	1411	473
599	1413	471
600	1415	468
601	1417	466
602	1419	463
603	1422	461
604	1424	459
605	1426	456
606	1428	454
607	1431	451
608	1433	449
609	1435	447
610	1437	444
611	1439	442
612	1441	439
613	1444	437
614	1446	435
615	1448	432
616	1450	430
617	1452	427
618	1454	425
619	1457	423
620	1459	420
621	1461	418
622	1463	415
623	1465	413
624	1468	411
625	1470	408
626	1472	406
627	1474	403
628	1476	401
629	1479	399
630	1481	396
631	1483	394
632	1485	391
633	1487	389
634	1490	387
635	1492	384
636	1494	382
637	1496	380
638	1499	377
639	1501	375
640	1503	372
641	1505	370
642	1507	368
643	1510	365
644	1512	363
645	1514	361
646	1516	358
647	1519	356
648	1521	354
649	1523	351
650	1527	349
651	1529	347
652	1531	344
653	1534	342
654	1536	340
655	1539	337
656	1542	335
657	1545	333
658	1547	331
659	1549	328
660	1552	326
661	1554	324
662	1557	321
663	1559	319
664	1563	317
665	1567	315
666	1571	313
667	1576	311
668	1580	309
669	1583	307
670	1585	304
671	1587	302
672	1590	300
673	1592	297
674	1594	295
675	1596	292
676	1599	290
677	1601	288
678	1603	285
679	1605	283
680	1607	280
681	1610	278
682	1613	276
683	1615	274
684	1618	271
685	1620	269
686	1622	266
687	1624	264
688	1627	262
689	1629	259
690	1631	257
691	1633	254
692	1635	252
693	1638	250
694	1640	247
695	1642	245
696	1644	243
697	1647	240
698	1649	238
699	1651	235
700	1653	233
701	1655	231
702	1658	228
703	1660	226
704	1662	224
705	1664	221
706	1667	219
707	1669	216
708	1671	214
709	1673	212
710	1675	209
711	1678	207
712	1680	205
713	1682	202
714	1684	200
715	1687	197
716	1689	195
717	1691	193
718	1693	190
719	1695	188
720	1698	186
721	1700	183
722	1702	181
723	1704	178
724	1707	176
725	1709	174
726	1711	171
727	1713	169
728	1715	167
729	1718	164
730	1720	162
731	1723	160
732	1725	157
733	1728	155
734	1731	153
735	1734	150
736	1737	148
737	1739	146
738	1741	143
739	1744	141
740	1747	139
741	1749	136
742	1752	134
743	1754	132
744	1756	129
745	1759	127
746	1761	124
747	1764	122
748	1766	120
749	1768	117
750	1771	115
751	1773	113
752	1775	110
753	1778	108
754	1780	106
755	1782	103
756	1785	101
757	1787	99
758	1789	96
759	1792	94
760	1794	91
761	1796	89
762	1799	87
763	1801	84
764	1803	82
765	1806	80
766	1808	77
767	1811	75
768	1813	73
769	1815	70
770	1818	68
771	1820	66
772	1822	63
773	1825	61
774	1827	58
775	1829	56
776	1832	54
777	1834	51
778	1836	49
779	1839	47
780	1841	44
781	1844	42
782	1846	40
783	1848	37
784	1851	35
785	1853	33
786	1855	30
787	1858	28
788	1860	25
789	1862	23
790	1865	21
791	1867	18
792	1869	16
793	1871	14
794	1874	11
795	1876	9
796	1878	7
797	1881	4
798	1883	2
799	1887	0
